Em que ano a criança/adolescente está na escola?,Faixa Etária,Região,A criança/adolescente usa a Internet na escola?,"Nos últimos três meses, a criança/adolescente pesquisou coisas na Internet para fazer trabalhos na escola?",Com que frequência a criança/adolescente pesquisa coisas na Internet para fazer trabalhos da escola?,"Nos últimos três meses, a criança/adolescente mandou mensagens no Whatsapp, Snapchat ou chat do Facebook?","Com que frequência a criança/adolescente manda mensagens no Whatsapp, Snapchat ou chat do Facebook?","Nos últimos 12 meses, a criança/adolescente passou menos tempo que devia com a família, amigos ou fazendo lição de casa porque ficou muito tempo na Internet?","Com que frequência a criança/adolescente usa o Facebook, Instagram, Twitter ou outra rede social?",Ano,"Nos últimos três meses, a criança/adolescente pesquisou coisas na Internet para fazer trabalhos da escola?","Nos últimos três meses, a criança/adolescente usou o Facebook, Instagram, Twitter, TikTok ou outra rede social?","Com que frequência a criança/adolescente usa o Facebook, Instagram, Twitter, TikTok ou outra rede social?",Agrupamento - Faixa etária da criança ou do adolescente,Agrupamento - Região,"Nos últimos três meses, a criança/adolescente usou o Facebook, Instagram, X, antigo Twitter, TikTok ou outra rede social?","Com que frequência a criança/adolescente usa o Facebook, Instagram, X, antigo Twitter, TikTok ou outra rede social?"
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Não,Não se aplica,De 15 a 17 anos,Norte,,
,,,Sim,,Pelo menos uma vez por mês,Sim,Mais de uma vez por dia,Sim,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por mês,De 15 a 17 anos,Norte,,
,,,Não,,Não se aplica,Não,Não se aplica,Não,,2022,Não,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Não,,Pelo menos uma vez por mês,Não,Não se aplica,Não respondeu,,2022,Sim,Sim,Menos de uma vez por mês,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Não,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não,,Não se aplica,Não,Não se aplica,Sim,,2022,Não,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por mês,Sim,Pelo menos uma vez por mês,Não se aplica,,2022,Sim,Sim,Mais de uma vez por dia,De 9 a 10 anos,Norte,,
,,,Sim,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por mês,Não,Não se aplica,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Sim,Pelo menos uma vez por dia,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Menos de uma vez por mês,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Não,Não se aplica,De 13 a 14 anos,Norte,,
,,,Sim,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por mês,Sim,Pelo menos uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por semana,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 13 a 14 anos,Norte,,
,,,Não,,Não se aplica,Sim,Pelo menos uma vez por dia,Sim,,2022,Não,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2022,Sim,Não,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Não se aplica,,2022,Sim,Sim,Mais de uma vez por dia,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por dia,Sim,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por dia,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por mês,Não,Não se aplica,Não se aplica,,2022,Sim,Sim,Pelo menos uma vez por mês,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Não,Não se aplica,De 11 a 12 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Sim,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Não,Não se aplica,De 15 a 17 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não,,Não se aplica,Não,Não se aplica,Não,,2022,Não,Não,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Pelo menos uma vez por mês,Não,,2022,Sim,Não,Não se aplica,De 11 a 12 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não se aplica,,2022,Sim,Sim,Pelo menos uma vez por dia,De 9 a 10 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não,,2022,Sim,Não,Não se aplica,De 13 a 14 anos,Norte,,
,,,Sim,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 13 a 14 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Pelo menos uma vez por mês,Não,,2022,Sim,Não,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não se aplica,,2022,Sim,Sim,Mais de uma vez por dia,De 9 a 10 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Não,Não se aplica,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Não se aplica,Sim,Pelo menos uma vez por semana,Não,,2022,Não,Não,Não se aplica,De 13 a 14 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Não,Não se aplica,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Não,,Pelo menos uma vez por mês,Sim,Pelo menos uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por semana,De 11 a 12 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Sim,Pelo menos uma vez por semana,Não,,2022,Sim,Não,Não se aplica,De 13 a 14 anos,Norte,,
,,,Não,,Menos de uma vez por mês,Não,Não se aplica,Não,,2022,Sim,Não,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Sim,,Não se aplica,Sim,Pelo menos uma vez por dia,Não,,2022,Não,Não,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Não,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Sim,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não,,2022,Sim,Não,Não se aplica,De 13 a 14 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Sim,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Sim,Pelo menos uma vez por dia,Não respondeu,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não,,Não se aplica,Sim,Menos de uma vez por mês,Não se aplica,,2022,Não,Sim,Mais de uma vez por dia,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por mês,Não,Não se aplica,Não,,2022,Sim,Sim,Pelo menos uma vez por mês,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Menos de uma vez por mês,Não,Não se aplica,Não,,2022,Sim,Sim,Pelo menos uma vez por semana,De 13 a 14 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 15 a 17 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Pelo menos uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não sabe,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por semana,Não sabe,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não respondeu,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Não,Não se aplica,De 15 a 17 anos,Norte,,
,,,Sim,,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por semana,Sim,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por semana,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Sim,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não,,Não se aplica,Sim,Mais de uma vez por dia,Não,,2022,Não,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Pelo menos uma vez por mês,Sim,Mais de uma vez por dia,Sim,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Pelo menos uma vez por dia,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Não se aplica,Não,Não se aplica,Não,,2022,Não,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Não,,Menos de uma vez por mês,Sim,Pelo menos uma vez por semana,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Não,Não se aplica,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 13 a 14 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não se aplica,,2022,Sim,Sim,Mais de uma vez por dia,De 9 a 10 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não respondeu,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Não,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não,,Não se aplica,Não,Não se aplica,Não se aplica,,2022,Não,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Sim,Pelo menos uma vez por dia,Sim,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não,,Menos de uma vez por mês,Não,Não se aplica,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Sim,Pelo menos uma vez por mês,Não,,2022,Sim,Não,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 11 a 12 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Sim,Pelo menos uma vez por dia,Sim,,2022,Sim,Não,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Não,Não se aplica,De 13 a 14 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por semana,De 13 a 14 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 11 a 12 anos,Norte,,
,,,Não,,Não se aplica,Não,Não se aplica,Não,,2022,Não,Não,Não se aplica,De 13 a 14 anos,Norte,,
,,,Sim,,Mais de uma vez por dia,Sim,Pelo menos uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2022,Não se aplica,Não se aplica,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Sim,Pelo menos uma vez por dia,Sim,,2022,Sim,Não,Não se aplica,De 11 a 12 anos,Norte,,
,,,Sim,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2022,Sim,Sim,Mais de uma vez por dia,De 15 a 17 anos,Norte,,
,,,Sim,,Pelo menos uma vez por dia,Não,Não se aplica,Sim,,2022,Sim,Não,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não se aplica,,2022,Sim,Não,Não se aplica,De 9 a 10 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Sim,,Não se aplica,Não,Não se aplica,Não,,2022,Não,Não,Não se aplica,De 15 a 17 anos,Norte,,
,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2022,Sim,Sim,Mais de uma vez por dia,De 13 a 14 anos,Norte,,
,,,Não,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2022,Sim,Sim,Pelo menos uma vez por dia,De 15 a 17 anos,Norte,,
